TITULO,PRECIO,IMAGEN,DESCRIPCION,AREA,HABITACIONES,BANIO,LINK
"Departamento en  Avenida Mariscal Sucre 2-104, Quito, Ecu",450 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzc4ODg4NzQzLTlmY2UtNGQ4Ny1hYWJjLTVkMjQzMTJlNDM4NC8yZTljOTk4Ni1lMDNhLTQ3ZDAtOTVkYy1iMjhhNDBhOGZhOGUuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Departamento en renta en el 10mo piso, ubicado en “Torres del Pedregal”, en la Avenida Mariscal Sucre. El edificio cuenta...",107,3,2,https://www.icasas.ec/propiedad/a054-ab42-788887c9-5d24312e440a-4e0d
"Departamento en  Gonzalez Suarez, Quito, Ecuador",950 ,https://images.proppit.com/properties/c57f5640-7727-11ed-a44a-3f8042f9ac17/631202e2-44dd-480b-99ec-bb5530ac7ff4.bin,"Sector de La González Suárez, La Paz / Quito
• Cerca al Intercambiador Oswaldo Guayasamín, Parada Plaza Argentina de la Ecovía...",158.19,3,3,https://www.icasas.ec/propiedad/77ad-a4d0-c57f56c6-3f8042f9ac9d-1273
"Suite en  Esmeraldas & Los Rios, Quito, Ecuador",220 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2I4MmI2YmQxLTY1ZGYtNDlmYi1hMWIxLTFiYjI1OWNiNmY1Yy9lNzc0ZDZjYi0zMDdhLTRjNjAtYTE0NS1lZTU3MDk3NmVlYTUuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"ALQUILO HERMOSA SUITE UBICADA EN CASA PATRIMONIAL CERCA DE SAN BLAS, EL VALOR INCLUYE ALICUOTA DE $15 DOLARES, AGUA, LUZ,...",40,1,1,https://www.icasas.ec/propiedad/6665-a237-b82b6c57-1bb259cb6fe2-4a81
"Departamento en  Cumbayá, Quito, Ecuador",1300 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzM2NjczMjhjLTY3YmQtNGJmYy1hMTZjLWNhZGY1MTAzM2NhNC85ZGVkZmM4MS02YTQyLTRiMDMtOTBiMi0yMjNkNDU0OTZkYjYuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Depar de alquiler en zona estratégica de cumbaya! 

- 145m2. 

- 2 cuartos 2 baños completos. 

- Baño de visitas. 

- Master...",145,2,2,https://www.icasas.ec/propiedad/6843-a1f2-36673312-cadf51033d2a-4c82
"Departamento en  O Calle 3m 2-115, Quito, Ecu",420 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2U5MjIxN2NiLTNiNDMtNDVjMi04NTMyLTFiOTE3OTViYmIxMi9jZjRlYmQxZC0xZjI0LTQxN2QtYjliOC04MmJmMDRjZmM3MzEuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Este departamento es super amplio cuenta con 160m2 de construcción y está distribuido de la siguiente manera.

Se encuentra...",160,4,2,https://www.icasas.ec/propiedad/3bc9-85b8-e9221851-1b91795bbb98-4648
"Departamento en  El Bosque, Quito, Ecuador",472 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzQxMTdkMDJhLTFlN2ItNDFlZS04NTEzLWU0ZTgyMGIwZWMwNC80MTM0ZTE0Mi05YjMzLTQxNGMtOWM0OS01NmE0NDFiOGMxYzEuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Arriendo Hermoso departamento

Sector El Bosque
Cerca al Centro Comercial El Bosque, Colegios Los Pinos
Intisana, Rudolf ...",94,3,3,https://www.icasas.ec/propiedad/1f01-8599-4117d0b0-e4e820b0ec8a-4274
"Casa en  Guangopolo, Quito",2000 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzk3YmUzY2U0LTJjYTgtNDEzYi05NGEyLTE5ZTY4ODEwOWIwMy9lYWJlMWRiMS1hZWVkLTQ5ZDAtYmE5Yy04YjU1OGY3MzIwYTEuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"casa de 500 m2 en terrenode  5000m2 Independiente

1 sola planta
3 dormitorios cada uno con baño 
Sala de TV con Chimenea...",500,3,3,https://www.icasas.ec/propiedad/2d2e-9528-97be3d6a-19e688109b89-41c1
"Casa en  Cumbayá, Quito",900 ,https://images.proppit.com/properties/d270c8b0-9163-11ed-bd19-5579882f4f0c/2c0f2b59-c6a0-4f2c-83d2-26f423b3aa35.bin,"Precio de renta 900 dólares 
más 100 de alícuota .
Casa de 3 habitaciones 
Segundo nivel dos habitaciones comparten baño ...",170,3,3,https://www.icasas.ec/propiedad/91e9-bd9f-d270c936-5579882f4f92-1273
Departamento en  Iñaquito,800 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M5N2U2MTViLWEyNzgtNDQ1OS05ZmRhLTJhN2IyNDY2YWJlZi84MjcyOTMwNi1jNDU3LTQ1ZTQtODY0MC1hZmNkYzRmMDYyZjIuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Renta amplio departamento amoblado , sector Carolina. Portugal. 
Características: 
Área 123 m2. 
Séptimo piso vista frontal...",123,2,2,https://www.icasas.ec/propiedad/a2fe-a060-c97e61e1-2a7b2466ac75-44df
Departamento en  Iñaquito,1900 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzIyNmM0OWZlLTU0ODAtNDE2MS1hNjQ4LTZjM2M5NzAxOTFkOS81OWY3NGU4Yi1lYWI3LTRlMDAtYjZkYi0wODc0MGQxMmI5MTQuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,R3-CN003 Es un departamento dúplex en la avenida González Suárez  $1900.00 desde un Penthouse tiene en total 355 m + un parqueadero...,355,3,2,https://www.icasas.ec/propiedad/5506-a6ce-226c4a84-6c3c9701925f-41e7
